Latitud,Longitud,Título
10.39084618,-75.53375164,Manzanillo
10.8290859,-74.76301442,El Cerrito
10.33473868,-74.88012,Suan
10.97804519,-74.88771711,Cipaqua
24.129722,-105.891111,Guarisamey
10.08400064,-75.13959966,San Cayetano
-1.600412617,-78.75561599,Casa Redonda
-3.986637699,-79.35315905,La Toma
0.078881053,-78.1823309,Tupigachi
0.82986148,-77.71117393,La Rinconada
1.505043164,-77.10864375,Berruecos
1.599626739,-77.12767944,La Union
1.697258179,-77.14575626,Sombrerillos
1.872483807,-77.19408397,El Alto
1.319761689,-77.20699066,Meneses
25.833056,-103.847778,Mapimi
1.384729578,-77.17391088,Ortega
4.858265085,-74.43511819,Aserradero
4.902835364,-74.45883547,Pantanillo
23.474167,-104.395556,Mezquital
25.045,-105.420278,Papasquiaro
26.93301,-105.66316,Parral
25.440278,-102.1825,Parras
25.95413,-105.36771,Santa Maria del Oro
25.42158,-100.99961,Saltillo
24.840556,-106.200833,San Gregorio
29.8432,-107.4565,Valle de San Buenaventura
24.78405,-104.470261,San Juan del Rio
26.803909,-105.819168,Santa Barbara
26.93745,-105.393738,Valle de Allende
22.492222,-105.360556,Acaponeta
21.054167,-104.484167,Ahuacatlan
19.770833,-104.369444,Autlan
21.831101,-103.780998,Bolaños
20.927778,-103.023333,Cuquio
20.700278,-103.976111,Ahualulco
2.568853984,-75.96949307,Riofrio
2.4254728,-75.59465783,Domingo Arias
3.503869496,-75.09061226,Mercadillo
4.046979253,-74.83045198,Balneario Batatas
4.252762218,-74.74611064,Cangrejo
4.676793251,-74.2569724,Boca del Monte
20.576401,-104.382004,Guachinango
4.997228582,-74.48450985,Gicalillo
5.697000795,-74.62395364,Fierro
5.928452311,-74.60158848,Aro
6.784181268,-74.10919439,Carare Viejo
7.660680496,-73.82343024,Rompedero
8.587240045,-73.83990442,Rio viejo
8.663251519,-73.82173488,Regidor
8.764259639,-73.7978213,San Pedro
10.24472267,-75.12978783,Santa Cruz
-14.3631342,-71.15750341,Luricachi
20.9298,-104.6442,San Sebastian
-16.60308853,-68.17001509,La Ventila
-18.46077124,-66.76303218,Iruma
-18.69234038,-66.75836844,Las Peñas
-19.19115337,-66.08714975,La Leña
-15.27032029,-70.33829648,Choconchaca
-14.95780116,-70.50830714,Ventilla
-14.8679198,-70.45103073,Antavilque
-14.57204176,-70.29208273,Quinsacalco
-18.28633733,-66.8386637,Huanuni
21.059799,-104.050003,Hostotipaquillo
-18.36726889,-66.63608406,Agua-caliente
-18.8095153,-65.5065797,Yurubamba
-17.61169764,-65.6697344,Pamparedonda
-17.760672,-65.49393151,Curicuri
-18.0959365,-64.43527168,Pulquina
-18.10902353,-64.32676826,San Pedrillo
-18.11806548,-64.2170751,Mataral
-18.12222954,-63.95890358,Mairana
-18.19522073,-63.73922671,Cuevas
-19.55333404,-65.44428167,Betanzos
20.277222,-102.549722,La Barca
-19.36609394,-65.18536572,Tambo nuevo
-21.154002,-67.166129,Rio Grande
-31.73130058,-60.30881754,Las Conchitas
-31.59213281,-60.08128633,Potrero de Vera
-31.42316038,-60.04796913,Antonio Tomas
-31.3797947,-59.85118771,Hernandarias
-31.17215962,-59.73078188,Rio Alcaraz
-30.99239134,-59.66064727,Rio Feliciano
-30.61984581,-59.52973218,Arroyo Hondo
-30.55797982,-59.50998265,Tacuaras
21.35755,-101.932869,Lagos de Moren
-30.3427841,-59.51335208,Guayquiraro
-28.254938,-58.623685,Guardia de Saladas
-27.70493026,-58.76833517,Ohoma
-30.21547314,-59.48956743,Arroyo Sarandi
-29.8132696,-59.39513349,Rio Corrientes
-29.63786434,-59.34178311,Arroyo del Batel
-31.50373298,-60.04379421,Arroyo Maria
-28.91449643,-59.09007982,don Pedro
-28.91449643,-59.09007982,don Pedro
-29.14411442,-59.26021128,Goya
21.54114,-105.285294,Puerto de San Blas
-33.96297684,-59.37854937,Cañada Honda
-33.82637595,-59.58451155,Arroyo del Arrecife
-33.48452589,-60.15335866,Arroyo Hermanas
-32.62706223,-60.83656051,Caracaraña
-32.23992393,-60.98789423,Barrancas
-31.92297972,-60.92031754,Monte Bragado
-32.26709618,-58.12792821,Las Barrancas
-32.41276332,-58.27932275,Arroyo Salvatella
-32.51700208,-58.2843088,Arroyo de la China
-32.62729003,-58.29978781,Arroyo del Sauce
21.043889,-103.428333,San Cristobal de La Barranca
-32.68618169,-58.3307208,Arroyo Cupalen
-32.91223049,-58.43898628,Capilla Vieja
-33.01585601,-58.48669447,Rio Gualeguaychu
-32.95606016,-58.80694613,Arroyo Gualeyan
-33.0587577,-58.8957952,Pehuajo
-33.09003571,-59.09803749,Cuchilla Redonda
-33.06439702,-59.25597421,Rio Gualeguay
-32.30224392,-58.25031082,Arroyo Pelado
-32.09832411,-58.25185747,Perucho Berna
-32.02622644,-58.28255251,Paso Caraballo
21.333611,-104.588056,Santa Maria del Oro
-31.87465478,-58.32526384,Palmar
-31.38282019,-58.12051122,Yuqueri
-31.10799244,-58.07530146,Gualeguaycito
-30.61901321,-57.97001031,Mocoreta
-30.59061246,-57.91804595,San Gregorio
-30.28485172,-57.77289883,Durazno
-30.15755055,-57.7443453,Merced
-30.10044349,-57.6158544,Rio Miriñay
-29.94863388,-57.4697555,San Pedro
-29.76779484,-57.3046209,Santa Ana
19.881659,-103.600016,Sayula
-29.72306097,-57.20849068,San Joaquin
-29.67404408,-57.07619265,San Jorge
-29.47954042,-56.94791118,San Felipe
-34.36031452,-57.06167653,Pereyra
-34.37658325,-57.50477718,Sauce
-34.68452878,-55.70348051,Mosquitos
-34.74571481,-55.39330147,Solis grande
-34.85883133,-55.1071984,Potrero
-34.75814335,-54.69290359,Jose Ignacio
-34.59871946,-54.53823862,Garzon
21.805,-105.346111,Sentispac
-34.39218225,-54.22748102,San Carlos
-34.20182537,-53.85152618,Castilos
-34.1422966,-55.27775071,Boyada
-33.75860851,-54.90298561,Romualdo Godoy
-33.07572651,-54.41736125,Juan Alonso
-34.29367468,-57.83051916,San Pedro
-34.16750218,-57.94355807,San Francisco
-34.07683936,-58.11163547,Tunas
-33.8824,-58.4033,Espinillo viejo
-33.38684163,-58.1958193,Asención
20.648333,-103.701111,Tala
-33.17244864,-58.18023388,Gallinas
-32.88477573,-57.96675384,Roman
-32.65802722,-58.01076651,Arroyo Bellaco
-27.41373447,-58.66895352,Antonio Tigua
-27.37613898,-58.51238498,San Cosme
-27.36436065,-58.30192166,La Limosna
-27.34770443,-57.94024359,Asuncion
-27.55709699,-57.53157116,San Antonio
-27.4577545,-57.3596551,Ita Ibate
-27.6665522,-57.31158999,San Antonio Miri
20.816667,-102.761111,Tepatitlan
-27.77160541,-57.27774215,Loreto
-27.6101094,-57.00238101,La Tranquera
-27.63461492,-56.83116006,Santa Maria de Candelaria
-27.59178462,-56.65377124,San Miguel
-27.60784598,-56.46246257,Santa Tecla
-27.50314228,-56.12026221,San Borja
-27.36883206,-55.89435327,Paso de Itapua
-27.16360354,-56.23878025,Arroyo Tacuari
-26.93921792,-56.35033745,San Miguel
-26.71922152,-56.27909088,rio Tebicuari
21.516111,-104.893889,Tepic
-26.53138824,-56.38579437,Jesus Maria
-26.12305638,-56.48935639,Hernandarias
-25.70544104,-56.84570985,Yaguarones
-25.41609859,-57.12172733,Tapatingua
-22.50128254,-57.28771314,Refugio
-22.6135931,-57.26487031,Layanas
-22.73351794,-57.23631678,Ethelenoes
-34.43648788,-57.86479998,Real de San Carlos
-29.6903976,-60.25277832,San Pedro
20.885059,-103.836218,Tequila
-29.89098616,-60.28275953,Jesus Nazareno
-31.09038375,-60.59383702,Almagro
-30.77570131,-60.60096575,Feliu
-30.61744885,-60.9150546,Soledad
-30.69146839,-61.13206145,Melo
-30.66707705,-59.97672329,San Javier
-30.8717107,-60.97847637,San Nicolas
-31.05144852,-60.74180207,San Juan Bautista
-31.12855024,-60.75939456,Rosario
-27.06308335,-65.39195939,Famailla
20.4745,-103.4466,Tlajomulco
-27.26884626,-65.50776195,Amberes
-27.48038898,-65.62356831,Rio Chico
-27.64219233,-65.44177749,Graneros
-27.76621408,-65.58112654,San Ignacio
-28.03568804,-65.59242898,La Viña
-28.15192867,-65.65804659,Paclin
-28.49754538,-65.66976543,Santa Cruz
-28.60032311,-65.90472582,Miraflores
-30.19111224,-69.26344652,Tulcun
-29.62635006,-67.42265074,Colorados
19.940833,-105.248611,Tomatlan
